"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C2,C3","2","100n","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C6,C7,C24,C27,C28","5","100nF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C25,C26,C29","3","10nF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C8,C9,C10,C11,C16,C17,C18,C19,C20,C21,C22,C23,C30,C31,C32","15","10u","","","","Capacitor_SMD:C_1206_3216Metric",""
"C1,C4,C5","3","10u","","","","Capacitor_SMD:C_1210_3225Metric",""
"J1","1","Barrel_Jack_MountingPin","","","","Connector_BarrelJack:BarrelJack_GCT_DCJ200-10-A_Horizontal",""
"J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13","12","Conn_01x11","","","","Connector_PinHeader_2.54mm:PinHeader_1x11_P2.54mm_Vertical",""
"J15,J16","2","Screw_Terminal_01x11","","","","Connector_PinHeader_2.54mm:PinHeader_1x12_P2.54mm_Vertical",""
"D5","1","1N5819WS","","","","Diode_SMD:D_SOD-323","https://datasheet.lcsc.com/lcsc/2204281430_Guangdong-Hottech-1N5819WS_C191023.pdf"
"J14","1","","","","","ESP32_5V:ESP32_dispositivo",""
"L1,L2","2","4,7uH","","","","Inductor_SMD:L_6.3x6.3_H3",""
"D1,D2,D3","3","LED","","","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"U3,U4,U5","3","SN74LVC245APW","","","","Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm","https://www.ti.com/lit/ds/scas218x/scas218x.pdf"
"U1,U2","2","TPS563201","","","","Package_TO_SOT_SMD:SOT-23-6",""
"R1","1","0","DNP","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R2,R3,R5,R7","4","10k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R4","1","51k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R6","1","33k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R8","1","100","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R9","1","150","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R10","1","390","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30","20","1k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"TP1,TP2,TP3","3","TestPoint","","","","TestPoint:TestPoint_Pad_D2.0mm",""
